Estudiante1;6;4
Estudiante2;6;8
Estudiante3;5;4
Estudiante4;4;10
Estudiante5;3;10
Estudiante6;8;3
Estudiante7;6;8
Estudiante8;4;8
Estudiante9;3;3
Estudiante10;9;10
Estudiante11;8;9
Estudiante12;5;7
Estudiante13;10;10
Estudiante14;10;4
Estudiante15;10;4
Estudiante16;3;4
Estudiante17;8;7
Estudiante18;1;3
Estudiante19;6;4
Estudiante20;2;5
Estudiante21;5;3
Estudiante22;7;4
Estudiante23;1;4
Estudiante24;3;2
Estudiante25;3;1
Estudiante26;7;4
Estudiante27;8;10
Estudiante28;2;5
Estudiante29;3;9
Estudiante30;6;2
Estudiante31;3;2
Estudiante32;3;3
Estudiante33;4;8
Estudiante34;3;9
Estudiante35;8;8
Estudiante36;4;9
Estudiante37;10;8
Estudiante38;10;7
Estudiante39;4;1
Estudiante40;2;6
Estudiante41;8;1
Estudiante42;1;1
Estudiante43;7;7
Estudiante44;2;4
Estudiante45;7;9
Estudiante46;6;7
Estudiante47;8;4
Estudiante48;10;2
Estudiante49;5;10
Estudiante50;6;6
Estudiante51;9;10
Estudiante52;6;2
Estudiante53;9;2
Estudiante54;6;2
Estudiante55;3;7
Estudiante56;5;5
Estudiante57;7;7
Estudiante58;1;1
Estudiante59;8;3
Estudiante60;4;10
Estudiante61;1;1
Estudiante62;4;5
Estudiante63;1;1
Estudiante64;7;5
Estudiante65;8;3
Estudiante66;1;8
Estudiante67;9;2
Estudiante68;3;10
Estudiante69;3;1
Estudiante70;5;2
Estudiante71;5;1
Estudiante72;2;8
Estudiante73;2;8
Estudiante74;7;7
Estudiante75;6;6
Estudiante76;1;9
Estudiante77;9;5
Estudiante78;3;3
Estudiante79;1;1
Estudiante80;4;4
Estudiante81;9;10
Estudiante82;5;2
Estudiante83;2;4
Estudiante84;2;5
Estudiante85;3;5
Estudiante86;7;9
Estudiante87;10;2
Estudiante88;8;9
Estudiante89;10;3
Estudiante90;1;1
Estudiante91;6;6
Estudiante92;7;1
Estudiante93;5;5
Estudiante94;3;2
Estudiante95;10;4
Estudiante96;5;6
Estudiante97;10;5
Estudiante98;8;3
Estudiante99;8;8
Estudiante100;6;4
Estudiante101;4;1
Estudiante102;8;10
Estudiante103;1;7
Estudiante104;4;7
Estudiante105;10;2
Estudiante106;5;3
Estudiante107;5;8
Estudiante108;2;5
Estudiante109;2;10
Estudiante110;6;7
Estudiante111;3;5
Estudiante112;3;9
Estudiante113;3;3
Estudiante114;7;9
Estudiante115;6;8
Estudiante116;7;4
Estudiante117;6;9
Estudiante118;10;5
Estudiante119;9;9
Estudiante120;3;3
Estudiante121;1;5
Estudiante122;8;8
Estudiante123;1;1
Estudiante124;8;9
Estudiante125;2;8
Estudiante126;6;7
Estudiante127;3;6
Estudiante128;7;2
Estudiante129;7;6
Estudiante130;10;5
Estudiante131;1;6
Estudiante132;1;9
Estudiante133;9;3
Estudiante134;6;5
Estudiante135;5;6
Estudiante136;1;10
Estudiante137;5;1
Estudiante138;7;5
Estudiante139;7;5
Estudiante140;4;3
Estudiante141;8;7
Estudiante142;10;9
Estudiante143;5;10
Estudiante144;1;8
Estudiante145;10;8
Estudiante146;5;7
Estudiante147;4;1
Estudiante148;1;2
Estudiante149;1;7
Estudiante150;2;10
Estudiante151;7;4
Estudiante152;9;1
Estudiante153;1;10
Estudiante154;1;4
Estudiante155;2;9
Estudiante156;8;4
Estudiante157;10;2
Estudiante158;10;3
Estudiante159;6;9
Estudiante160;2;7
Estudiante161;6;9
Estudiante162;7;4
Estudiante163;3;10
Estudiante164;2;7
Estudiante165;10;2
Estudiante166;7;10
Estudiante167;5;7
Estudiante168;5;10
Estudiante169;9;10
Estudiante170;7;5
Estudiante171;10;5
Estudiante172;6;8
Estudiante173;5;8
Estudiante174;7;5
Estudiante175;6;7
Estudiante176;10;10
Estudiante177;3;3
Estudiante178;1;8
Estudiante179;6;2
Estudiante180;1;4
Estudiante181;9;9
Estudiante182;4;2
Estudiante183;6;8
Estudiante184;6;5
Estudiante185;10;9
Estudiante186;8;2
Estudiante187;4;9
Estudiante188;3;10
Estudiante189;9;8
Estudiante190;5;10
Estudiante191;2;5
Estudiante192;9;9
Estudiante193;8;5
Estudiante194;8;8
Estudiante195;9;8
Estudiante196;7;1
Estudiante197;8;1
Estudiante198;10;8
Estudiante199;3;5
Estudiante200;9;6
Estudiante201;9;10
Estudiante202;3;9
Estudiante203;6;5
Estudiante204;4;9
Estudiante205;2;7
Estudiante206;6;2
Estudiante207;2;7
Estudiante208;10;8
Estudiante209;9;2
Estudiante210;10;7
Estudiante211;8;1
Estudiante212;6;8
Estudiante213;4;4
Estudiante214;3;2
Estudiante215;3;10
Estudiante216;3;3
Estudiante217;8;10
Estudiante218;3;6
Estudiante219;7;2
Estudiante220;9;4
Estudiante221;6;5
Estudiante222;2;8
Estudiante223;5;8
Estudiante224;7;5
Estudiante225;10;7
Estudiante226;1;2
Estudiante227;4;1
Estudiante228;5;8
Estudiante229;9;7
