Estudiante1;6,00;4,00;5,00
Estudiante2;6,00;8,00;7,00
Estudiante3;5,00;4,00;4,50
Estudiante4;4,00;10,00;7,00
Estudiante5;3,00;10,00;6,50
Estudiante6;8,00;3,00;5,50
Estudiante7;6,00;8,00;7,00
Estudiante8;4,00;8,00;6,00
Estudiante9;3,00;3,00;3,00
Estudiante10;9,00;10,00;9,50
Estudiante11;8,00;9,00;8,50
Estudiante12;5,00;7,00;6,00
Estudiante13;10,00;10,00;10,00
Estudiante14;10,00;4,00;7,00
Estudiante15;10,00;4,00;7,00
Estudiante16;3,00;4,00;3,50
Estudiante17;8,00;7,00;7,50
Estudiante18;1,00;3,00;2,00
Estudiante19;6,00;4,00;5,00
Estudiante20;2,00;5,00;3,50
Estudiante21;5,00;3,00;4,00
Estudiante22;7,00;4,00;5,50
Estudiante23;1,00;4,00;2,50
Estudiante24;3,00;2,00;2,50
Estudiante25;3,00;1,00;2,00
Estudiante26;7,00;4,00;5,50
Estudiante27;8,00;10,00;9,00
Estudiante28;2,00;5,00;3,50
Estudiante29;3,00;9,00;6,00
Estudiante30;6,00;2,00;4,00
Estudiante31;3,00;2,00;2,50
Estudiante32;3,00;3,00;3,00
Estudiante33;4,00;8,00;6,00
Estudiante34;3,00;9,00;6,00
Estudiante35;8,00;8,00;8,00
Estudiante36;4,00;9,00;6,50
Estudiante37;10,00;8,00;9,00
Estudiante38;10,00;7,00;8,50
Estudiante39;4,00;1,00;2,50
Estudiante40;2,00;6,00;4,00
Estudiante41;8,00;1,00;4,50
Estudiante42;1,00;1,00;1,00
Estudiante43;7,00;7,00;7,00
Estudiante44;2,00;4,00;3,00
Estudiante45;7,00;9,00;8,00
Estudiante46;6,00;7,00;6,50
Estudiante47;8,00;4,00;6,00
Estudiante48;10,00;2,00;6,00
Estudiante49;5,00;10,00;7,50
Estudiante50;6,00;6,00;6,00
Estudiante51;9,00;10,00;9,50
Estudiante52;6,00;2,00;4,00
Estudiante53;9,00;2,00;5,50
Estudiante54;6,00;2,00;4,00
Estudiante55;3,00;7,00;5,00
Estudiante56;5,00;5,00;5,00
Estudiante57;7,00;7,00;7,00
Estudiante58;1,00;1,00;1,00
Estudiante59;8,00;3,00;5,50
Estudiante60;4,00;10,00;7,00
Estudiante61;1,00;1,00;1,00
Estudiante62;4,00;5,00;4,50
Estudiante63;1,00;1,00;1,00
Estudiante64;7,00;5,00;6,00
Estudiante65;8,00;3,00;5,50
Estudiante66;1,00;8,00;4,50
Estudiante67;9,00;2,00;5,50
Estudiante68;3,00;10,00;6,50
Estudiante69;3,00;1,00;2,00
Estudiante70;5,00;2,00;3,50
Estudiante71;5,00;1,00;3,00
Estudiante72;2,00;8,00;5,00
Estudiante73;2,00;8,00;5,00
Estudiante74;7,00;7,00;7,00
Estudiante75;6,00;6,00;6,00
Estudiante76;1,00;9,00;5,00
Estudiante77;9,00;5,00;7,00
Estudiante78;3,00;3,00;3,00
Estudiante79;1,00;1,00;1,00
Estudiante80;4,00;4,00;4,00
Estudiante81;9,00;10,00;9,50
Estudiante82;5,00;2,00;3,50
Estudiante83;2,00;4,00;3,00
Estudiante84;2,00;5,00;3,50
Estudiante85;3,00;5,00;4,00
Estudiante86;7,00;9,00;8,00
Estudiante87;10,00;2,00;6,00
Estudiante88;8,00;9,00;8,50
Estudiante89;10,00;3,00;6,50
Estudiante90;1,00;1,00;1,00
Estudiante91;6,00;6,00;6,00
Estudiante92;7,00;1,00;4,00
Estudiante93;5,00;5,00;5,00
Estudiante94;3,00;2,00;2,50
Estudiante95;10,00;4,00;7,00
Estudiante96;5,00;6,00;5,50
Estudiante97;10,00;5,00;7,50
Estudiante98;8,00;3,00;5,50
Estudiante99;8,00;8,00;8,00
Estudiante100;6,00;4,00;5,00
Estudiante101;4,00;1,00;2,50
Estudiante102;8,00;10,00;9,00
Estudiante103;1,00;7,00;4,00
Estudiante104;4,00;7,00;5,50
Estudiante105;10,00;2,00;6,00
Estudiante106;5,00;3,00;4,00
Estudiante107;5,00;8,00;6,50
Estudiante108;2,00;5,00;3,50
Estudiante109;2,00;10,00;6,00
Estudiante110;6,00;7,00;6,50
Estudiante111;3,00;5,00;4,00
Estudiante112;3,00;9,00;6,00
Estudiante113;3,00;3,00;3,00
Estudiante114;7,00;9,00;8,00
Estudiante115;6,00;8,00;7,00
Estudiante116;7,00;4,00;5,50
Estudiante117;6,00;9,00;7,50
Estudiante118;10,00;5,00;7,50
Estudiante119;9,00;9,00;9,00
Estudiante120;3,00;3,00;3,00
Estudiante121;1,00;5,00;3,00
Estudiante122;8,00;8,00;8,00
Estudiante123;1,00;1,00;1,00
Estudiante124;8,00;9,00;8,50
Estudiante125;2,00;8,00;5,00
Estudiante126;6,00;7,00;6,50
Estudiante127;3,00;6,00;4,50
Estudiante128;7,00;2,00;4,50
Estudiante129;7,00;6,00;6,50
Estudiante130;10,00;5,00;7,50
Estudiante131;1,00;6,00;3,50
Estudiante132;1,00;9,00;5,00
Estudiante133;9,00;3,00;6,00
Estudiante134;6,00;5,00;5,50
Estudiante135;5,00;6,00;5,50
Estudiante136;1,00;10,00;5,50
Estudiante137;5,00;1,00;3,00
Estudiante138;7,00;5,00;6,00
Estudiante139;7,00;5,00;6,00
Estudiante140;4,00;3,00;3,50
Estudiante141;8,00;7,00;7,50
Estudiante142;10,00;9,00;9,50
Estudiante143;5,00;10,00;7,50
Estudiante144;1,00;8,00;4,50
Estudiante145;10,00;8,00;9,00
Estudiante146;5,00;7,00;6,00
Estudiante147;4,00;1,00;2,50
Estudiante148;1,00;2,00;1,50
Estudiante149;1,00;7,00;4,00
Estudiante150;2,00;10,00;6,00
Estudiante151;7,00;4,00;5,50
Estudiante152;9,00;1,00;5,00
Estudiante153;1,00;10,00;5,50
Estudiante154;1,00;4,00;2,50
Estudiante155;2,00;9,00;5,50
Estudiante156;8,00;4,00;6,00
Estudiante157;10,00;2,00;6,00
Estudiante158;10,00;3,00;6,50
Estudiante159;6,00;9,00;7,50
Estudiante160;2,00;7,00;4,50
Estudiante161;6,00;9,00;7,50
Estudiante162;7,00;4,00;5,50
Estudiante163;3,00;10,00;6,50
Estudiante164;2,00;7,00;4,50
Estudiante165;10,00;2,00;6,00
Estudiante166;7,00;10,00;8,50
Estudiante167;5,00;7,00;6,00
Estudiante168;5,00;10,00;7,50
Estudiante169;9,00;10,00;9,50
Estudiante170;7,00;5,00;6,00
Estudiante171;10,00;5,00;7,50
Estudiante172;6,00;8,00;7,00
Estudiante173;5,00;8,00;6,50
Estudiante174;7,00;5,00;6,00
Estudiante175;6,00;7,00;6,50
Estudiante176;10,00;10,00;10,00
Estudiante177;3,00;3,00;3,00
Estudiante178;1,00;8,00;4,50
Estudiante179;6,00;2,00;4,00
Estudiante180;1,00;4,00;2,50
Estudiante181;9,00;9,00;9,00
Estudiante182;4,00;2,00;3,00
Estudiante183;6,00;8,00;7,00
Estudiante184;6,00;5,00;5,50
Estudiante185;10,00;9,00;9,50
Estudiante186;8,00;2,00;5,00
Estudiante187;4,00;9,00;6,50
Estudiante188;3,00;10,00;6,50
Estudiante189;9,00;8,00;8,50
Estudiante190;5,00;10,00;7,50
Estudiante191;2,00;5,00;3,50
Estudiante192;9,00;9,00;9,00
Estudiante193;8,00;5,00;6,50
Estudiante194;8,00;8,00;8,00
Estudiante195;9,00;8,00;8,50
Estudiante196;7,00;1,00;4,00
Estudiante197;8,00;1,00;4,50
Estudiante198;10,00;8,00;9,00
Estudiante199;3,00;5,00;4,00
Estudiante200;9,00;6,00;7,50
Estudiante201;9,00;10,00;9,50
Estudiante202;3,00;9,00;6,00
Estudiante203;6,00;5,00;5,50
Estudiante204;4,00;9,00;6,50
Estudiante205;2,00;7,00;4,50
Estudiante206;6,00;2,00;4,00
Estudiante207;2,00;7,00;4,50
Estudiante208;10,00;8,00;9,00
Estudiante209;9,00;2,00;5,50
Estudiante210;10,00;7,00;8,50
Estudiante211;8,00;1,00;4,50
Estudiante212;6,00;8,00;7,00
Estudiante213;4,00;4,00;4,00
Estudiante214;3,00;2,00;2,50
Estudiante215;3,00;10,00;6,50
Estudiante216;3,00;3,00;3,00
Estudiante217;8,00;10,00;9,00
Estudiante218;3,00;6,00;4,50
Estudiante219;7,00;2,00;4,50
Estudiante220;9,00;4,00;6,50
Estudiante221;6,00;5,00;5,50
Estudiante222;2,00;8,00;5,00
Estudiante223;5,00;8,00;6,50
Estudiante224;7,00;5,00;6,00
Estudiante225;10,00;7,00;8,50
Estudiante226;1,00;2,00;1,50
Estudiante227;4,00;1,00;2,50
Estudiante228;5,00;8,00;6,50
Estudiante229;9,00;7,00;8,00
Estudiante230;10,00;3,00;6,50
Estudiante231;3,00;10,00;6,50
Estudiante232;4,00;7,00;5,50
Estudiante233;9,00;3,00;6,00
Estudiante234;4,00;3,00;3,50
Estudiante235;10,00;1,00;5,50
Estudiante236;2,00;7,00;4,50
Estudiante237;3,00;8,00;5,50
Estudiante238;1,00;6,00;3,50
Estudiante239;4,00;8,00;6,00
Estudiante240;1,00;10,00;5,50
Estudiante241;7,00;3,00;5,00
Estudiante242;10,00;5,00;7,50
Estudiante243;3,00;3,00;3,00
Estudiante244;4,00;7,00;5,50
Estudiante245;3,00;8,00;5,50
Estudiante246;8,00;3,00;5,50
Estudiante247;8,00;8,00;8,00
Estudiante248;8,00;3,00;5,50
Estudiante249;10,00;3,00;6,50
Estudiante250;7,00;6,00;6,50
Estudiante251;5,00;9,00;7,00
Estudiante252;7,00;10,00;8,50
Estudiante253;4,00;5,00;4,50
Estudiante254;3,00;6,00;4,50
Estudiante255;6,00;6,00;6,00
Estudiante256;2,00;2,00;2,00
Estudiante257;1,00;4,00;2,50
Estudiante258;2,00;6,00;4,00
Estudiante259;1,00;6,00;3,50
Estudiante260;6,00;5,00;5,50
Estudiante261;8,00;6,00;7,00
Estudiante262;3,00;8,00;5,50
Estudiante263;10,00;10,00;10,00
Estudiante264;8,00;10,00;9,00
Estudiante265;8,00;7,00;7,50
Estudiante266;9,00;10,00;9,50
Estudiante267;8,00;8,00;8,00
Estudiante268;9,00;3,00;6,00
Estudiante269;2,00;4,00;3,00
Estudiante270;5,00;5,00;5,00
Estudiante271;9,00;3,00;6,00
Estudiante272;1,00;7,00;4,00
Estudiante273;7,00;2,00;4,50
Estudiante274;2,00;1,00;1,50
Estudiante275;2,00;7,00;4,50
Estudiante276;9,00;3,00;6,00
Estudiante277;9,00;10,00;9,50
Estudiante278;1,00;4,00;2,50
Estudiante279;8,00;1,00;4,50
Estudiante280;5,00;4,00;4,50
Estudiante281;1,00;1,00;1,00
Estudiante282;6,00;3,00;4,50
Estudiante283;9,00;8,00;8,50
Estudiante284;7,00;9,00;8,00
Estudiante285;10,00;2,00;6,00
Estudiante286;9,00;10,00;9,50
Estudiante287;3,00;9,00;6,00
Estudiante288;6,00;8,00;7,00
Estudiante289;5,00;5,00;5,00
Estudiante290;6,00;10,00;8,00
Estudiante291;9,00;1,00;5,00
Estudiante292;3,00;2,00;2,50
Estudiante293;9,00;4,00;6,50
Estudiante294;1,00;5,00;3,00
Estudiante295;9,00;10,00;9,50
Estudiante296;6,00;5,00;5,50
Estudiante297;8,00;5,00;6,50
Estudiante298;7,00;7,00;7,00
Estudiante299;8,00;6,00;7,00
Estudiante300;2,00;3,00;2,50
Estudiante301;5,00;10,00;7,50
Estudiante302;2,00;1,00;1,50
Estudiante303;7,00;6,00;6,50
Estudiante304;3,00;8,00;5,50
Estudiante305;9,00;9,00;9,00
Estudiante306;9,00;2,00;5,50
Estudiante307;4,00;9,00;6,50
Estudiante308;1,00;4,00;2,50
Estudiante309;2,00;10,00;6,00
Estudiante310;7,00;1,00;4,00
Estudiante311;8,00;9,00;8,50
Estudiante312;5,00;7,00;6,00
Estudiante313;1,00;5,00;3,00
Estudiante314;7,00;9,00;8,00
Estudiante315;8,00;9,00;8,50
Estudiante316;9,00;9,00;9,00
Estudiante317;10,00;5,00;7,50
Estudiante318;2,00;6,00;4,00
Estudiante319;7,00;8,00;7,50
Estudiante320;9,00;3,00;6,00
Estudiante321;6,00;10,00;8,00
Estudiante322;1,00;2,00;1,50
Estudiante323;6,00;1,00;3,50
Estudiante324;7,00;2,00;4,50
Estudiante325;6,00;7,00;6,50
Estudiante326;1,00;1,00;1,00
Estudiante327;4,00;8,00;6,00
Estudiante328;9,00;6,00;7,50
Estudiante329;5,00;9,00;7,00
Estudiante330;4,00;1,00;2,50
Estudiante331;6,00;6,00;6,00
Estudiante332;9,00;6,00;7,50
Estudiante333;7,00;1,00;4,00
Estudiante334;1,00;1,00;1,00
Estudiante335;10,00;5,00;7,50
Estudiante336;7,00;2,00;4,50
Estudiante337;2,00;9,00;5,50
Estudiante338;6,00;5,00;5,50
Estudiante339;7,00;2,00;4,50
Estudiante340;2,00;10,00;6,00
Estudiante341;8,00;5,00;6,50
Estudiante342;10,00;7,00;8,50
Estudiante343;7,00;7,00;7,00
Estudiante344;5,00;8,00;6,50
Estudiante345;5,00;6,00;5,50
Estudiante346;4,00;1,00;2,50
Estudiante347;8,00;4,00;6,00
Estudiante348;2,00;2,00;2,00
Estudiante349;6,00;7,00;6,50
Estudiante350;1,00;10,00;5,50
Estudiante351;10,00;6,00;8,00
Estudiante352;5,00;5,00;5,00
Estudiante353;2,00;3,00;2,50
Estudiante354;3,00;2,00;2,50
Estudiante355;2,00;4,00;3,00
Estudiante356;8,00;7,00;7,50
Estudiante357;1,00;3,00;2,00
Estudiante358;8,00;3,00;5,50
Estudiante359;9,00;3,00;6,00
Estudiante360;4,00;10,00;7,00
Estudiante361;7,00;10,00;8,50
Estudiante362;7,00;3,00;5,00
Estudiante363;9,00;7,00;8,00
Estudiante364;6,00;9,00;7,50
Estudiante365;2,00;10,00;6,00
Estudiante366;2,00;9,00;5,50
Estudiante367;4,00;5,00;4,50
Estudiante368;7,00;7,00;7,00
Estudiante369;3,00;4,00;3,50
Estudiante370;7,00;10,00;8,50
Estudiante371;10,00;7,00;8,50
Estudiante372;10,00;2,00;6,00
Estudiante373;8,00;5,00;6,50
Estudiante374;4,00;4,00;4,00
Estudiante375;3,00;4,00;3,50
Estudiante376;4,00;7,00;5,50
Estudiante377;1,00;9,00;5,00
Estudiante378;2,00;8,00;5,00
Estudiante379;2,00;8,00;5,00
Estudiante380;5,00;10,00;7,50
Estudiante381;8,00;2,00;5,00
Estudiante382;10,00;1,00;5,50
Estudiante383;1,00;2,00;1,50
Estudiante384;3,00;2,00;2,50
Estudiante385;8,00;2,00;5,00
Estudiante386;2,00;10,00;6,00
Estudiante387;5,00;9,00;7,00
Estudiante388;4,00;2,00;3,00
Estudiante389;2,00;6,00;4,00
Estudiante390;9,00;7,00;8,00
Estudiante391;4,00;6,00;5,00
Estudiante392;10,00;2,00;6,00
